id,method,cue_a,cue_b,expected,pred,success,coarse_visited,fine_steps,runtime_ms,candidates,grid
q000,nn,c0_000,c1_000,bridge_c0_c1,c0_000,0,0,0,0.0274,256,1
q000,graph_only,c0_000,c1_000,bridge_c0_c1,c0_000,0,0,0,1.8214,256,1
q000,topogps,c0_000,c1_000,bridge_c0_c1,bridge_c0_c1,1,6,0,0.9857,256,1
q000,topogps_no_cue,c0_000,c1_000,bridge_c0_c1,c0_000,0,211,120,11.9773,256,1
q001,nn,c0_010,c2_010,bridge_c0_c2,c0_010,0,0,0,0.0052,256,1
q001,graph_only,c0_010,c2_010,bridge_c0_c2,c0_010,0,0,0,1.4427,256,1
q001,topogps,c0_010,c2_010,bridge_c0_c2,bridge_c0_c2,1,5,0,0.6781,256,1
q001,topogps_no_cue,c0_010,c2_010,bridge_c0_c2,c0_010,0,259,120,11.3061,256,1
q002,nn,c0_020,c3_020,bridge_c0_c3,c0_020,0,0,0,0.0044,256,1
q002,graph_only,c0_020,c3_020,bridge_c0_c3,c0_020,0,0,0,1.2584,256,1
q002,topogps,c0_020,c3_020,bridge_c0_c3,bridge_c0_c2,0,9,0,0.7776,256,1
q002,topogps_no_cue,c0_020,c3_020,bridge_c0_c3,c0_020,0,216,120,11.6937,256,1
q003,nn,c0_030,c4_030,bridge_c0_c4,c0_030,0,0,0,0.0047,256,1
q003,graph_only,c0_030,c4_030,bridge_c0_c4,c0_030,0,0,0,1.404,256,1
q003,topogps,c0_030,c4_030,bridge_c0_c4,bridge_c0_c4,1,6,0,0.8107,256,1
q003,topogps_no_cue,c0_030,c4_030,bridge_c0_c4,c0_030,0,247,120,11.2356,256,1
q004,nn,c1_005,c2_005,bridge_c1_c2,c1_005,0,0,0,0.005,256,1
q004,graph_only,c1_005,c2_005,bridge_c1_c2,c1_005,0,0,0,1.1246,256,1
q004,topogps,c1_005,c2_005,bridge_c1_c2,bridge_c1_c2,1,5,0,0.6641,256,1
q004,topogps_no_cue,c1_005,c2_005,bridge_c1_c2,c1_005,0,178,120,10.8108,256,1
q005,nn,c1_015,c3_015,bridge_c1_c3,c1_015,0,0,0,0.0043,256,1
q005,graph_only,c1_015,c3_015,bridge_c1_c3,c1_015,0,0,0,1.4868,256,1
q005,topogps,c1_015,c3_015,bridge_c1_c3,bridge_c1_c2,0,8,0,0.8259,256,1
q005,topogps_no_cue,c1_015,c3_015,bridge_c1_c3,c1_015,0,265,120,11.2444,256,1
q006,nn,c1_025,c4_025,bridge_c1_c4,c1_025,0,0,0,0.0044,256,1
q006,graph_only,c1_025,c4_025,bridge_c1_c4,c1_025,0,0,0,1.4427,256,1
q006,topogps,c1_025,c4_025,bridge_c1_c4,bridge_c1_c4,1,5,0,0.6899,256,1
q006,topogps_no_cue,c1_025,c4_025,bridge_c1_c4,c1_025,0,267,120,11.1588,256,1
q007,nn,c2_007,c3_007,bridge_c2_c3,c2_007,0,0,0,0.0042,256,1
q007,graph_only,c2_007,c3_007,bridge_c2_c3,c2_007,0,0,0,1.2433,256,1
q007,topogps,c2_007,c3_007,bridge_c2_c3,bridge_c2_c3,1,6,0,0.678,256,1
q007,topogps_no_cue,c2_007,c3_007,bridge_c2_c3,c2_007,0,213,120,11.0831,256,1
q008,nn,c2_017,c4_017,bridge_c2_c4,c2_017,0,0,0,0.0047,256,1
q008,graph_only,c2_017,c4_017,bridge_c2_c4,c2_017,0,0,0,1.6425,256,1
q008,topogps,c2_017,c4_017,bridge_c2_c4,bridge_c2_c4,1,6,0,0.6778,256,1
q008,topogps_no_cue,c2_017,c4_017,bridge_c2_c4,c2_017,0,292,120,11.4571,256,1
q009,nn,c3_009,c4_009,bridge_c3_c4,c3_009,0,0,0,0.0046,256,1
q009,graph_only,c3_009,c4_009,bridge_c3_c4,c3_009,0,0,0,1.3424,256,1
q009,topogps,c3_009,c4_009,bridge_c3_c4,bridge_c3_c4,1,5,0,0.7369,256,1
q009,topogps_no_cue,c3_009,c4_009,bridge_c3_c4,c3_009,0,244,120,11.4834,256,1
